Dataset	Time(s)	Memory(MB)	ARI	AMI	Homogeneity	Silhouette	SSS_Spatial	SSS_Penalty
DLPFC_151507	56.6808	429.9019	0.4002	0.6118	0.5901	0.0346	-0.0133	0.0666
DLPFC_151508	59.9261	462.2841	0.4822	0.6441	0.6456	0.0463	-0.0118	0.0673
DLPFC_151509	71.5890	551.4998	0.4876	0.6386	0.6675	0.0595	-0.1050	0.1412
DLPFC_151510	68.4347	516.4187	0.4577	0.6312	0.6688	0.0367	-0.1107	0.1459
DLPFC_151669	46.9608	322.5749	0.5555	0.6539	0.7130	0.0165	-0.0150	0.0215
DLPFC_151670	41.9978	294.5506	0.5378	0.6262	0.6512	0.0676	0.0594	0.0135
DLPFC_151671	55.7658	406.3771	0.6030	0.7160	0.7547	0.0678	0.0643	0.0031
DLPFC_151672	53.8777	387.8436	0.6078	0.7174	0.7470	0.0534	0.0187	0.0475
DLPFC_151673	45.8260	318.7178	0.6312	0.7308	0.7471	0.0787	0.0364	0.1248
DLPFC_151674	45.9823	324.6934	0.6223	0.7189	0.7307	0.0777	0.0203	0.0939
DLPFC_151675	46.0690	310.5537	0.5918	0.7054	0.7056	0.0259	-0.0030	0.0419
DLPFC_151676	41.7205	288.2003	0.5419	0.6554	0.6582	0.0155	-0.0420	0.0757
3.Human_Breast_Cancer	57.0137	347.1190	0.5775	0.6812	0.6861	0.1424	0.0475	0.2077
Human_Ovarian_Cancer	44.1065	293.7110	0.0000	0.0000	0.0000	-0.0726	-0.3330	0.4400
Human_Lymph_Node	57.6328	392.4814	0.0000	0.0000	0.0000	0.0176	-0.3098	0.5230
Mouse_Brain_Ant	28.6406	175.2174	0.0000	0.0000	0.0000	0.0947	0.0358	0.1111
Mouse_Kidney	14.2996	50.2261	0.0000	0.0000	0.0000	0.0913	0.0418	0.1854
