Method,Dataset,Silhouette-Spatial,Average-Dispersion,Silhouette,Davies-Bouldin,CHAOS,PAS,ASW,ARI,AMI,Purity,Homogeneity,Completeness,V-Measure
GIST-new,Human_Ovarian_Cancer,-0.3081,0.4618,-0.0105,5.2693,5.9217,0.0381,-0.1669,,,,,,
GIST-new,DLPFC_151670,-0.1301,0.2262,-0.0796,3.651,6.2849,0.0077,0.155,0.3845,0.515,0.7642,0.5817,0.464,0.5163
GIST-new,DLPFC_151673,-0.0516,0.0119,-0.042,4.3972,6.004,0.0151,-0.0525,0.5792,0.7146,0.7903,0.7173,0.714,0.7156
GIST-new,Human_Breast_Cancer,-0.0537,0.1742,0.0152,4.3074,5.6962,0.0311,0.0176,0.6453,0.7139,0.7375,0.7088,0.7295,0.719
GIST-new,DLPFC_151510,-0.2456,0.1962,-0.0906,4.737,5.4822,0.0183,-0.0072,0.4619,0.5981,0.7628,0.627,0.5737,0.5992
GIST-new,DLPFC_151671,-0.0525,0.0013,-0.0512,6.7202,5.7648,0.0039,0.1721,0.6027,0.7235,0.8944,0.7612,0.6903,0.724
GIST-new,DLPFC_151676,-0.1228,0.167,-0.0703,3.8343,6.2159,0.0179,0.044,0.4682,0.5887,0.6948,0.5716,0.6103,0.5903
GIST-new,DLPFC_151509,-0.2032,0.1163,-0.0403,4.7131,5.3608,0.009,-0.0634,0.5237,0.6715,0.7676,0.6859,0.6592,0.6723
GIST-new,DLPFC_151508,-0.1318,0.1513,-0.0749,5.663,5.6324,0.0112,0.0704,0.2587,0.5139,0.5776,0.4997,0.5321,0.5154
GIST-new,DLPFC_151672,-0.0756,0.0091,-0.0679,3.7017,5.8081,0.002,0.0653,0.7413,0.7269,0.8506,0.6763,0.7867,0.7273
GIST-new,DLPFC_151674,-0.0721,0.0874,-0.0652,4.4741,6.0217,0.018,-0.0072,0.5253,0.6872,0.7531,0.6764,0.7006,0.6883
GIST-new,DLPFC_151507,-0.1152,0.0531,-0.0725,7.1678,5.6284,0.0073,0.0572,0.6155,0.7342,0.7989,0.7498,0.7207,0.7349
GIST-new,DLPFC_151669,-0.108,0.2028,-0.0597,5.0174,6.1281,0.0107,0.083,0.2397,0.4718,0.7247,0.5124,0.4393,0.473
GIST-new,DLPFC_151675,-0.0736,0.1336,-0.0593,4.8448,6.0731,0.0153,0.1133,0.5253,0.6504,0.743,0.6521,0.6513,0.6517
