Dataset;ARI;AMI;Homogeneity;Silhouette-Spatial;Average-Dispersion;Silhouette;Davies-Bouldin;CHAOS;PAS;ASW
DLPFC_151507;0.6127;0.7331;0.7487;-0.0487;0.053;-0.0069;188.889;56.284;0.0073;0.0572
DLPFC_151508;0.5105;0.6325;0.6371;-0.0533;0.0645;-0.0053;173.442;55.068;0.0089;0.0539
DLPFC_151509;0.5233;0.6714;0.6861;-0.1651;0.1161;-0.0048;157.569;53.608;0.0096;-0.0629
DLPFC_151510;0.5434;0.6539;0.6649;-0.1696;0.2255;-0.0074;181.385;54.787;0.0119;-0.0867
DLPFC_151669;0.6795;0.7146;0.6977;-0.1392;0.2206;-0.0578;70.386;56.966;0.0313;0.0288
DLPFC_151670;0.4125;0.5559;0.6344;-0.0885;0.1382;-0.0213;153.688;60.221;0.01;0.101
DLPFC_151671;0.6024;0.7238;0.7618;-0.0173;0.0012;-0.0159;161.052;57.648;0.0046;0.1735
DLPFC_151672;0.5689;0.6709;0.6786;-0.0612;0.0569;-0.0136;17.492;58.125;0.0065;0.1199
DLPFC_151673;0.576;0.7154;0.7182;-0.0209;0.0177;-0.0085;131.656;60.044;0.0173;0.0118
DLPFC_151674;0.5243;0.6702;0.6769;-0.0479;0.0712;-0.0135;139.581;5.935;0.0174;0.0542
DLPFC_151675;0.4969;0.6044;0.5864;-0.0645;0.1511;-0.0111;124.767;60.003;0.0153;0.0026
DLPFC_151676;0.3778;0.5557;0.559;-0.0282;0.0018;-0.0266;14.293;61.968;0.0098;0.1445
Human_Breast_Cancer;0.4249;0.561;0.6155;-0.0683;0.0953;-0.0194;153.984;6.085;0.0104;0.1234
Human_Ovarian_Cancer;;;;-0.3634;0.5086;-0.0324;119.934;59.611;0.0303;-0.1882
