Method,Dataset,ARI,AMI,Purity,Homogeneity,Completeness,V-Measure,Silhouette-Spatial,Average-Dispersion,Silhouette,Davies-Bouldin,CHAOS,PAS,ASW
GraphST-new,DLPFC_151507,0.4003,0.6114,0.6429,0.589,0.638,0.6125,-0.0526,0.0666,-0.0062,22.8832,5.6484,0.0133,0.0117
GraphST-new,DLPFC_151670,0.5379,0.621,0.8736,0.6406,0.6043,0.6219,-0.0283,0.0135,-0.0196,20.0338,6.0356,0.0071,0.088
GraphST-new,DLPFC_151672,0.5869,0.6827,0.854,0.6888,0.6777,0.6832,-0.0482,0.0475,-0.0113,23.6255,5.8102,0.0095,0.1278
GraphST-new,DLPFC_151510,0.4529,0.6239,0.773,0.6536,0.5987,0.6249,-0.1523,0.1459,-0.0057,25.4273,5.4766,0.0119,-0.0461
GraphST-new,DLPFC_151673,0.629,0.7277,0.8239,0.7385,0.7188,0.7285,-0.057,0.1248,-0.0123,19.5016,6.017,0.0201,0.0651
GraphST-new,DLPFC_151508,0.4766,0.6386,0.7302,0.6388,0.6403,0.6395,-0.0662,0.0711,-0.0043,24.2393,5.512,0.0128,0.0197
GraphST-new,DLPFC_151509,0.4875,0.6383,0.7404,0.6669,0.6136,0.6392,-0.1681,0.1412,-0.0079,22.1722,5.3586,0.0157,-0.0508
GraphST-new,DLPFC_151676,0.5363,0.6468,0.7277,0.6441,0.652,0.648,-0.0918,0.0757,-0.0265,19.4416,6.211,0.0171,0.0278
GraphST-new,DLPFC_151671,0.6002,0.711,0.8869,0.7437,0.682,0.7115,-0.0174,0.0031,-0.0136,22.2022,5.7625,0.0095,0.15
GraphST-new,DLPFC_151669,0.5532,0.6457,0.8134,0.6948,0.6044,0.6464,-0.0513,0.0215,-0.0195,20.3455,6.0906,0.0071,0.1018
GraphST-new,DLPFC_151674,0.6141,0.7102,0.8023,0.7143,0.7079,0.7111,-0.0821,0.0939,-0.0253,20.1075,5.937,0.0201,0.0653
GraphST-new,DLPFC_151675,0.5908,0.6987,0.7859,0.6936,0.7058,0.6996,-0.041,0.0408,-0.0125,20.496,6.0049,0.0164,0.0567
GraphST-new,3.Human_Breast_Cancer,0.5775,0.6812,0.713,0.6861,0.6873,0.6867,-0.1737,0.2077,-0.0805,11.3742,5.6984,0.0305,0.0287
GraphST-new,Human_Ovarian_Cancer,0.0,0.0,1.0,1.0,0.0,0.0,-0.3306,0.44,-0.0506,16.3383,5.918,0.0438,-0.0748
