Method,Dataset,ARI,AMI,Purity,Homogeneity,Completeness,V-Measure,Silhouette-Spatial,Average-Dispersion,Silhouette,Davies-Bouldin,CHAOS,PAS,ASW
GraphST-original,DLPFC_151507,0.4371,0.6333,0.6808,0.6279,0.6409,0.6343,-0.0927,0.1083,-0.0046,23.1144,5.6272,0.0182,0.0088
GraphST-original,DLPFC_151670,0.436,0.588,0.8425,0.6748,0.5225,0.589,-0.0578,0.045,-0.0173,20.9337,6.0524,0.0123,0.1419
GraphST-original,DLPFC_151672,0.6028,0.6927,0.863,0.6914,0.695,0.6932,-0.0305,0.0259,-0.0106,23.0644,5.8089,0.007,0.1297
GraphST-original,DLPFC_151510,0.4584,0.628,0.7784,0.6584,0.602,0.629,-0.1549,0.1502,-0.0058,25.4643,5.4766,0.0132,-0.0481
GraphST-original,DLPFC_151673,0.6329,0.7271,0.8277,0.7385,0.7176,0.7279,-0.0563,0.1146,-0.0121,19.6113,6.0157,0.0256,0.0653
GraphST-original,DLPFC_151508,0.485,0.6621,0.7288,0.6529,0.6735,0.663,-0.0646,0.0669,-0.004,24.2761,5.5124,0.0109,0.0167
GraphST-original,DLPFC_151509,0.3591,0.5725,0.6991,0.583,0.5644,0.5736,-0.1721,0.1665,-0.0066,22.1369,5.3506,0.0146,-0.0502
GraphST-original,DLPFC_151676,0.6083,0.6821,0.7685,0.6758,0.6906,0.6832,-0.0713,0.1123,-0.0094,20.2381,6.2072,0.0208,0.0374
GraphST-original,DLPFC_151671,0.5964,0.7102,0.8842,0.7418,0.6822,0.7107,-0.0263,0.0087,-0.0136,21.964,5.7674,0.01,0.1507
GraphST-original,DLPFC_151669,0.5703,0.6409,0.8121,0.686,0.6028,0.6417,-0.0518,0.0214,-0.0195,20.1962,6.0882,0.0101,0.0984
GraphST-original,DLPFC_151674,0.5786,0.698,0.7871,0.7014,0.6964,0.6989,-0.0695,0.0685,-0.0161,20.2099,5.9392,0.0193,0.0513
GraphST-original,DLPFC_151675,0.5951,0.6961,0.7606,0.694,0.7002,0.6971,-0.0437,0.0432,-0.0098,20.1468,6.0045,0.0167,0.0524
GraphST-original,3.Human_Breast_Cancer,0.5149,0.6806,0.7064,0.6989,0.6742,0.6864,-0.1795,0.1461,-0.0866,11.8918,5.7154,0.03,0.0281
GraphST-original,Human_Ovarian_Cancer,0.0,0.0,1.0,1.0,0.0,0.0,-0.2709,0.383,-0.0379,16.3618,5.9141,0.0372,-0.0237
