Method;Dataset;ARI;AMI;Purity;Homogeneity;Completeness;V-Measure;Silhouette-Spatial;Average-Dispersion;Silhouette;Davies-Bouldin;CHAOS;PAS;ASW
GraphST-new;DLPFC_151507;0.4003;0.6114;0.6429;0.589;0.638;0.6125;-0.0526;0.0666;-0.006200000178068876;228.832;56.484;0.0133;0.0117
GraphST-new;DLPFC_151670;0.5379;0.621;0.8736;0.6406;0.6043;0.6219;-0.0283;0.0135;-0.019600000232458115;200.338;60.356;0.0071;0.088
GraphST-new;DLPFC_151672;0.5869;0.6827;0.854;0.6888;0.6777;0.6832;-0.0482;0.0475;-0.011300000362098217;236.255;58.102;0.0095;0.1278
GraphST-new;DLPFC_151510;0.4529;0.6239;0.773;0.6536;0.5987;0.6249;-0.1523;0.1459;-0.00570000009611249;254.273;54.766;0.0119;-0.0461
GraphST-new;DLPFC_151673;0.629;0.7277;0.8239;0.7385;0.7188;0.7285;-0.057;0.1248;-0.012299999594688416;195.016;6.017;0.0201;0.0651
GraphST-new;DLPFC_151508;0.4766;0.6386;0.7302;0.6388;0.6403;0.6395;-0.0662;0.0711;-0.00430000014603138;242.393;5.512;0.0128;0.0197
GraphST-new;DLPFC_151509;0.4875;0.6383;0.7404;0.6669;0.6136;0.6392;-0.1681;0.1412;-0.007899999618530273;221.722;53.586;0.0157;-0.0508
GraphST-new;DLPFC_151676;0.5363;0.6468;0.7277;0.6441;0.652;0.648;-0.0918;0.0757;-0.026499999687075615;194.416;6.211;0.0171;0.0278
GraphST-new;DLPFC_151671;0.6002;0.711;0.8869;0.7437;0.682;0.7115;-0.0174;0.0031;-0.01360000018030405;222.022;57.625;0.0095;0.15
GraphST-new;DLPFC_151669;0.5532;0.6457;0.8134;0.6948;0.6044;0.6464;-0.0513;0.0215;-0.019500000402331352;203.455;60.906;0.0071;0.1018
GraphST-new;DLPFC_151674;0.6141;0.7102;0.8023;0.7143;0.7079;0.7111;-0.0821;0.0939;-0.025299999862909317;201.075;5.937;0.0201;0.0653
GraphST-new;DLPFC_151675;0.5908;0.6987;0.7859;0.6936;0.7058;0.6996;-0.041;0.0408;-0.012500000186264515;20.496;60.049;0.0164;0.0567
GraphST-new;3.Human_Breast_Cancer;0.5775;0.6812;0.713;0.6861;0.6873;0.6867;-0.1737;0.2077;-0.08049999922513962;113.742;56.984;0.0305;0.0287
GraphST-new;Human_Ovarian_Cancer;0.0;0.0;1.0;1.0;0.0;0.0;-0.3306;0.44;-0.050599999725818634;163.383;5.918;0.0438;-0.0748
GIST-new;Human_Ovarian_Cancer;;;;;;;-0.3081;0.4618;-0.010499999858438969;52.693;59.217;0.0381;-0.1669
GIST-new;DLPFC_151670;0.3845;0.515;0.7642;0.5817;0.464;0.5163;-0.1301;0.2262;-0.07959999889135361;3.651;62.849;0.0077;0.155
GIST-new;DLPFC_151673;0.5792;0.7146;0.7903;0.7173;0.714;0.7156;-0.0516;0.0119;-0.041999999433755875;43.972;6.004;0.0151;-0.0525
GIST-new;Human_Breast_Cancer;0.6453;0.7139;0.7375;0.7088;0.7295;0.719;-0.0537;0.1742;0.015200000256299973;43.074;56.962;0.0311;0.0176
GIST-new;DLPFC_151510;0.4619;0.5981;0.7628;0.627;0.5737;0.5992;-0.2456;0.1962;-0.09059999883174896;4.737;54.822;0.0183;-0.0072
GIST-new;DLPFC_151671;0.6027;0.7235;0.8944;0.7612;0.6903;0.724;-0.0525;0.0013;-0.05119999870657921;67.202;57.648;0.0039;0.1721
GIST-new;DLPFC_151676;0.4682;0.5887;0.6948;0.5716;0.6103;0.5903;-0.1228;0.167;-0.07029999792575836;38.343;62.159;0.0179;0.044
GIST-new;DLPFC_151509;0.5237;0.6715;0.7676;0.6859;0.6592;0.6723;-0.2032;0.1163;-0.040300000458955765;47.131;53.608;0.009;-0.0634
GIST-new;DLPFC_151508;0.2587;0.5139;0.5776;0.4997;0.5321;0.5154;-0.1318;0.1513;-0.07490000128746033;5.663;56.324;0.0112;0.0704
GIST-new;DLPFC_151672;0.7413;0.7269;0.8506;0.6763;0.7867;0.7273;-0.0756;0.0091;-0.06790000200271606;37.017;58.081;0.002;0.0653
GIST-new;DLPFC_151674;0.5253;0.6872;0.7531;0.6764;0.7006;0.6883;-0.0721;0.0874;-0.06520000100135803;44.741;60.217;0.018;-0.0072
GIST-new;DLPFC_151507;0.6155;0.7342;0.7989;0.7498;0.7207;0.7349;-0.1152;0.0531;-0.07249999791383743;71.678;56.284;0.0073;0.0572
GIST-new;DLPFC_151669;0.2397;0.4718;0.7247;0.5124;0.4393;0.473;-0.108;0.2028;-0.059700001031160355;50.174;61.281;0.0107;0.083
GIST-new;DLPFC_151675;0.5253;0.6504;0.743;0.6521;0.6513;0.6517;-0.0736;0.1336;-0.059300001710653305;48.448;60.731;0.0153;0.1133
GIST-original;DLPFC_151507;0.6127;0.7331;0.7974;0.7487;0.7196;0.7339;-0.0487;0.053;-0.0069;188.889;56.284;0.0073;0.0572
GIST-original;Human_Breast_Cancer;0.6795;0.7146;0.7256;0.6977;0.7423;0.7193;-0.1392;0.2206;-0.0578;70.386;56.966;0.0313;0.0288
GIST-original;DLPFC_151669;0.4249;0.561;0.8078;0.6155;0.5169;0.5619;-0.0683;0.0953;-0.0194;153.984;6.085;0.0104;0.1234
GIST-original;DLPFC_151508;0.5105;0.6325;0.714;0.6371;0.6297;0.6334;-0.0533;0.0645;-0.0053;173.442;55.068;0.0089;0.0539
GIST-original;DLPFC_151673;0.576;0.7154;0.7897;0.7182;0.7145;0.7163;-0.0209;0.0177;-0.0085;131.656;60.044;0.0173;0.0118
GIST-original;DLPFC_151675;0.4969;0.6044;0.6933;0.5864;0.6261;0.6056;-0.0645;0.1511;-0.0111;124.767;60.003;0.0153;0.0026
GIST-original;DLPFC_151510;0.5434;0.6539;0.7823;0.6649;0.6452;0.6549;-0.1696;0.2255;-0.0074;181.385;54.787;0.0119;-0.0867
GIST-original;Human_Ovarian_Cancer;;;;;;;-0.3634;0.5086;-0.0324;119.934;59.611;0.0303;-0.1882
GIST-original;DLPFC_151509;0.5233;0.6714;0.767;0.6861;0.6589;0.6722;-0.1651;0.1161;-0.0048;157.569;53.608;0.0096;-0.0629
GIST-original;DLPFC_151672;0.5689;0.6709;0.8468;0.6786;0.6645;0.6715;-0.0612;0.0569;-0.0136;17.492;58.125;0.0065;0.1199
